query_id,fscore
1,0.5072
2,0.1538
3,0.9184
4,0.3488
5,0.3333
6,0.2222
7,0.3261
8,0.1923
9,0.0000
10,0.5102
11,0.3125
12,0.4348
13,0.1111
14,0.0000
15,0.2326
16,0.2273
17,0.2326
18,0.2273
19,0.0000
20,0.8000
21,0.3333
22,0.0000
23,0.2740
24,0.3409
25,0.6000
26,0.2128
27,0.2273
28,0.0000
29,0.4000
30,0.1042
31,0.1190
32,0.1064
33,0.4545
34,0.5319
35,0.1136
36,0.2326
37,0.3000
38,0.1961
39,0.4630
40,0.2830
41,0.3409
42,0.4348
43,0.4255
44,0.0000
45,0.2830
46,0.4464
47,0.5455
48,0.1923
49,0.2326
50,0.0000
51,0.4902
52,0.4444
53,0.4902
54,0.2000
55,0.3922
56,0.2941
57,0.1818
58,0.2000
59,0.4444
60,0.4348
61,0.5435
62,0.0000
63,0.0000
64,0.0000
65,0.5357
66,0.4348
67,0.5455
68,0.1087
69,0.0000
70,0.0980
71,0.1020
72,0.2586
73,0.4918
74,0.0000
75,0.1087
76,0.3125
77,0.6383
78,0.2273
79,0.2174
80,0.2222
81,0.2326
82,0.3261
83,0.0000
84,0.2885
85,0.0000
86,0.3488
87,0.0000
88,0.7447
89,0.1064
90,0.2778
91,0.4000
92,0.8333
93,0.2381
94,0.4717
95,0.2326
96,0.5556
97,0.3922
98,0.1087
99,0.3333
100,0.3000
101,0.7447
102,0.1111
103,0.1163
104,0.2174
105,0.5435
106,0.3261
107,0.3125
108,0.5208
109,0.0000
110,0.1111
111,0.4167
112,0.2326
113,0.0000
114,0.3333
115,0.0000
116,0.1087
117,0.0000
118,0.2273
119,0.0000
120,0.5000
121,0.4167
122,0.6000
123,0.2326
124,0.1111
125,0.0862
126,0.3061
127,0.1087
128,0.1163
129,0.7292
130,0.5435
131,0.3061
132,0.5357
133,0.2083
134,0.3488
135,0.4082
136,0.2273
137,0.3333
138,0.3488
139,0.0000
140,0.2128
141,0.2128
142,0.1190
143,0.1163
144,0.5319
145,0.5208
146,0.3488
147,0.3922
148,0.4255
149,0.3846
150,0.3488
151,0.0000
152,0.0000
153,0.1042
154,0.3488
155,0.4255
156,0.7273
157,0.2500
158,0.2041
159,0.2041
160,0.2174
161,0.3191
162,0.3061
163,0.3409
164,0.2041
165,0.3488
166,0.1020
167,0.1163
168,0.2326
169,0.4444
170,0.4255
171,0.3409
172,0.5556
173,0.3488
174,0.1087
175,0.2174
176,0.2083
177,0.6522
178,0.3333
179,0.2222
180,0.5208
181,0.1087
182,0.3488
183,0.7407
184,0.5208
185,0.7000
186,0.2632
187,0.2128
188,0.5769
189,0.4000
190,0.1087
191,0.3704
192,0.5556
193,0.6000
194,0.2128
195,0.1136
196,0.0000
197,0.4545
198,0.2222
199,0.0000
200,0.4545
201,0.4386
202,0.4545
203,0.1818
204,0.2727
205,0.0000
206,0.3409
207,0.0000
208,0.4255
209,0.3774
210,0.3191
211,0.1923
212,0.4545
213,0.5769
214,0.3333
215,0.2326
216,0.0000
217,0.0893
218,0.1786
219,0.0847
220,0.3333
221,0.4237
222,0.7000
223,0.2222
224,0.1020
225,0.0769
